훈련과정 상세출결현황  
4차산업 대비 인공지능(AI)/빅데이터 기반 사물인터넷(IoT)융합 실무
인쇄하기
훈련과정명	4차산업 대비 인공지능(AI)/빅데이터 기반 사물인터넷(IoT)융합 실무
훈련 기관명	한국IT교육원
훈련구분	통합심사과정훈련
훈련기간	2017-11-06 ~ 2018-09-05
소정출석일	204일	실제 출석일	36일
결석일	14 일	지각	21 일	지각 & 조퇴	0 일
조퇴	0 일	외출	0 일	지각 & 외출	0 일
외출 & 조퇴	0 일	지각 & 외출 & 조퇴	0 일	출석률 (일수)	17.6%
출석률 (시간)	17.9%

일자	입실시간	퇴실시간	수업시간	실수업시간	출결상태
2017-11-06	00:00	00:00	08:00	0 분	결석
2017-11-07	00:00	00:00	08:00	0 분	결석
2017-11-08	00:00	00:00	08:00	0 분	결석
2017-11-09	00:00	00:00	08:00	0 분	결석
2017-11-10	00:00	00:00	08:00	0 분	결석
2017-11-13	00:00	00:00	08:00	0 분	결석
2017-11-14	00:00	00:00	08:00	0 분	결석
2017-11-15	00:00	00:00	08:00	0 분	결석
2017-11-16	00:00	00:00	08:00	0 분	결석
2017-11-17	00:00	00:00	08:00	0 분	결석
2017-11-20	09:08	17:31	08:00	480 분	출석
2017-11-21	09:07	17:31	08:00	480 분	출석
2017-11-22	00:00	00:00	08:00	0 분	결석
2017-11-23	10:38	17:30	08:00	382 분	지각
2017-11-24	08:59	17:28	08:00	480 분	출석
2017-11-27	12:47	17:32	08:00	253 분	지각
2017-11-28	12:55	17:30	08:00	245 분	지각
2017-11-29	08:59	17:33	08:00	480 분	출석
2017-11-30	09:08	17:30	08:00	480 분	출석
2017-12-01	08:59	17:32	08:00	480 분	출석
2017-12-04	09:10	17:31	08:00	480 분	출석
2017-12-05	09:13	17:32	08:00	467 분	지각
2017-12-06	09:09	17:33	08:00	480 분	출석
2017-12-07	09:02	17:30	08:00	480 분	출석
2017-12-08	09:08	17:33	08:00	480 분	출석
2017-12-11	12:57	17:32	08:00	243 분	지각
2017-12-12	09:11	17:33	08:00	469 분	지각
2017-12-13	09:08	17:31	08:00	480 분	출석
2017-12-14	09:14	17:30	08:00	466 분	지각
2017-12-15	09:05	17:31	08:00	480 분	출석
2017-12-18	09:08	17:30	08:00	480 분	출석
2017-12-19	08:58	17:30	08:00	480 분	출석
2017-12-20	13:26	17:29	08:00	240 분	지각
2017-12-21	09:14	17:32	08:00	466 분	지각
2017-12-22	09:07	17:30	08:00	480 분	출석
2017-12-26	13:15	17:26	08:00	240 분	지각
2017-12-27	13:25	17:22	08:00	240 분	지각
2017-12-28	09:07	17:22	08:00	480 분	출석
2017-12-29	13:28	17:20	08:00	240 분	지각
2018-01-02	12:07	17:23	08:00	293 분	지각
2018-01-03	09:12	17:22	08:00	468 분	지각
2018-01-04	13:19	17:22	08:00	240 분	지각
2018-01-05	09:07	17:21	08:00	480 분	출석
2018-01-08	13:26	17:24	08:00	240 분	지각
2018-01-09	00:00	00:00	08:00	0 분	결석
2018-01-10	13:23	17:23	08:00	240 분	지각
2018-01-11	13:28	17:22	08:00	240 분	지각
2018-01-12	12:32	17:20	08:00	268 분	지각
2018-01-15	09:04	17:21	08:00	480 분	출석
2018-01-16	00:00	00:00	08:00	0 분	결석
2018-01-17	08:55	17:23	08:00	480 분	출석
2018-01-18	13:28	17:22	08:00	240 분	지각
2018-01-19	09:04	17:20	08:00	480 분	출석
2018-01-22	09:09	17:22	08:00	480 분	출석
2018-01-23	09:09	17:21	08:00	480 분	출석
2018-01-24	09:12	17:20	08:00	468 분	지각
2018-01-25	09:12	00:00	08:00	0 분	결석
