movie_rank,movie_name,the range of fluctuation
1,그것만이 내 세상,na 0
2,코코,na 0
3,염력,up 3
4,신과함께-죄와 벌,down 1
5,메이즈 러너: 데스 큐어,down 1
6,1987,up 1
7,1급기밀,down 2
8,커뮤터,na 0
9,인시디어스4: 라스트 키,na 0
10,조선명탐정: 흡혈괴마의 비밀,up 3
11,12 솔져스,up 3
12,다운사이징,down 1
13,위대한 쇼맨,down 1
14,비밥바룰라,down 4
15,원더,na 0
16,토르: 라그나로크,na 0
17,강철비,na 0
18,타이타닉,up 4
19,블랙 팬서,20 6
20,골든슬럼버,21 1
21,올 더 머니,22 4
22,원더 휠,23 4
23,너의 췌장을 먹고 싶어,24 3
24,돌아와요 부산항애(愛),25 3
25,쥬만지: 새로운 세계,26 2
26,흥부,27 6
27,오리엔트 특급 살인,28 6
28,월요일이 사라졌다,29 1
29,극장판 레이디버그: 미라클스톤의 비밀,30 3
30,종이비행기,31 3
31,9/11,32 3
32,어벤져스: 인피니티 워,33 1
33,더 포리너,34 7
34,궁합,35 2
35,진주 귀걸이를 한 소녀,36 0
36,식스 빌로우,37 2
37,쿵푸몽키,38 7
38,군함도,39 4
39,포르토,40 2
40,50가지 그림자: 해방,41 3
41,새벽을 알리는 루의 노래,42 3
42,리틀 포레스트,43 17
43,게이트,44 11
44,천화,45 5
45,누에치던 방,46 4
46,기생 : 꽃의 고백,47 6
47,블레이드 러너 2049,48 2
48,패터슨,49 1
49,M.F.A.,50 3
50,꾼, 0
