,Job Title,Job Sector,Recruit Condition,Company Info,DeadLines_MonJan151332092018
0,나라셀라(주)나라셀라(주) 영업지원팀 경력사원 모집,영업기획·관리·지원 ,경력무관_학력무관_,정규직서울 송파구,~ 01/31(수)
1,㈜이글루시큐리티해외사업부 해외마케팅 및 테크니컬라이터 경력직 부문,사무보조·문서작성마케팅·광고·분석IT·디자인·컴퓨터교육 ,4 ~ 7년_대학교(4년)↑_,정규직서울 송파구,~ 01/19(금)
2,㈜나스미디어모바일 미디어 플래너 경력 채용,마케팅·광고·분석 ,3 ~ 9년_대학교(4년)↑_,정규직서울 강남구,~ 01/19(금)
3,코스맥스그룹[인도네시아] 화장품 디자인 정규 경력직 모집,제품·산업디자인디자인기타 ,3 ~ 12년_대학교(4년)↑_,정규직아시아·중동 인도네시아,내일마감
4,(주)엠지메드[경영기획팀] 주식IR·공시 경력직 채용,회계·재무·세무·IR ,2 ~ 4년_대학교(4년)↑_,정규직서울 금천구,~ 01/19(금)
5,㈜로보스타시스템설계팀 모집,설계·CAD·CAM ,"2년↑_대학(2,3년)↑_",정규직경기 수원시 권선구,~ 01/29(월)
6,㈜로보스타미래전략실 설계 및 제어 모집,기계·기계설비전기·전자·제어 ,1년↑_대학교(4년)↑_,정규직경기 안산시 상록구,~ 01/29(월)
7,㈜로보스타정밀제조팀 모집,생산·제조·포장·조립 ,"2년↑_대학(2,3년)↑_",정규직경기 수원시 권선구,~ 01/29(월)
8,㈜로보스타시스템프로젝트팀 제어 및 제조 모집,기계·기계설비전기·전자·제어 ,3년↑_고졸↑_,정규직경기 수원시 권선구,~ 01/29(월)
9,㈜로보스타시스템영업팀 모집,일반영업 ,3년↑_대학교(4년)↑_,정규직경기 수원시 권선구,~ 01/28(일)
10,㈜에스디생명공학SNP화장품 [온라인영업팀] 채용,상품기획·MD ,"3 ~ 7년_대학(2,3년)↑_",정규직서울 강서구,~ 01/31(수)
11,(주)씨에스에이코..CSA코스믹(코스닥상장사) 재무회계팀장 채용공고,경리·출납·결산회계·재무·세무·IR ,"12년↑_대학(2,3년)↑_",정규직서울 강남구,~ 01/26(금)
12,파워카본테크놀로..[외국계기업] 경영지원실 신입/경력 사원 모집(외국어 능통자 ),기획·전략·경영외국어·번역·통역 ,신입 · 경력_학력무관_,정규직 · 계약직경북 구미시,~ 01/28(일)
13,(주)씨엠에스에듀인사팀 경력 채용,인사·교육·노무 ,5년↑_학력무관_,정규직서울 서초구,18시마감
14,주식회사 미투온재무회계 경력직 채용,회계·재무·세무·IR ,4 ~ 6년_대학교(4년)↑_,정규직서울 강남구,~ 01/31(수)
15,㈜인터엠[전산팀] 전산직 경력 모집 공고,본사·관리·전산 ,3 ~ 7년_대학교(4년)↑_,정규직서울 도봉구,~ 01/19(금)
16,굿어스㈜보안 솔루션(Vectra) 기술 지원 엔지니어 경력 7~13년,서버·네트워크·보안 ,"7 ~ 13년_대학(2,3년)↑_",정규직서울 강남구,~ 01/21(일)
17,"(주)트레이스주식, 공시, IR, 홍보 담당자 모집",기획·전략·경영홍보·PR·사보회계·재무·세무·IR ,"5년↓_대학(2,3년)↑_",정규직서울 강남구,~ 01/25(목)
18,(주)트레이스재무/회계/경리직 인재 모집,회계·재무·세무·IR ,"2년↑_대학(2,3년)↑_",정규직서울 강남구,~ 01/25(목)
19,(주)케이엠(주)케이엠 영업팀 신입 및 경력 채용 공고,일반영업영업기획·관리·지원해외영업·무역영업 ,경력무관_대학교(4년)↑_,정규직경기 안성시,~ 01/26(금)
20,(주)인컴즈웹디자인 경력사원 모집합니다,웹디자인 ,"3년↑_대학(2,3년)↑_","정규직강원 춘천시2,400~2,600만원",~ 02/07(수)
